timestamp_ms,slot,frequency_mhz,rssi_dbm,snr,payload_hex,payload_text,length
1261803,126,920.600,-26,10.25,69763d38333232303864346232653462663139383465323231653232383063333237622c6d73673d353166663162363536393730326665303865363166326565313636356265623939356530653239393661663534313438663864623034656263616636313437302c636f756e7465723d3535312c743d313236313535382c6b696e643d64617461,iv=832208d4b2e4bf1984e221e2280c327b;msg=51ff1b6569702fe08e61f2ee1665beb995e0e2996af54148f8db04ebcaf61470;counter=551;t=1261558;kind=data,136
1264059,126,920.600,-26,10.0,69763d64313733336431346435663133623664376130343738636234653862376463322c6d73673d613561633131336166323937346634343763633033666532313435396463626161626239663763363032663439636434356264393439663462663965396637362c636f756e7465723d3535322c743d313236333831342c6b696e643d64617461,iv=d1733d14d5f13b6d7a0478cb4e8b7dc2;msg=a5ac113af2974f447cc03fe21459dcbaabb9f7c602f49cd45bd949f4bf9e9f76;counter=552;t=1263814;kind=data,136
1266318,126,920.600,-26,9.75,69763d63323263653239663437633664313366633266343636646166613265616531372c6d73673d623961313139646362653335353933346434623230303663643231373962626535646530373066393038383430373033383230623264376461363565343932372c636f756e7465723d3535332c743d313236363037322c6b696e643d64617461,iv=c22ce29f47c6d13fc2f466dafa2eae17;msg=b9a119dcbe355934d4b2006cd2179bbe5de070f908840703820b2d7da65e4927;counter=553;t=1266072;kind=data,136
1268574,126,920.600,-27,9.75,69763d32633032326362366239303838323266646336613435363031623136656535332c6d73673d663863333034383861373533343536646130353134383661356231316666303138316231376261316664366634323437613637326638396262646538326439372c636f756e7465723d3535342c743d313236383332382c6b696e643d64617461,iv=2c022cb6b908822fdc6a45601b16ee53;msg=f8c30488a753456da051486a5b11ff0181b17ba1fd6f4247a672f89bbde82d97;counter=554;t=1268328;kind=data,136
1270832,127,921.200,-27,9.75,69763d30663033626639373133303161663632313265633766393961616233316139662c6d73673d343134393838616637326539343331306162343132303135363362643036316339663333383238633133393261366232656162393931333737323265633561662c636f756e7465723d3535352c743d313237303538342c6b696e643d64617461,iv=0f03bf971301af6212ec7f99aab31a9f;msg=414988af72e94310ab41201563bd061c9f33828c1392a6b2eab99137722ec5af;counter=555;t=1270584;kind=data,136
1273091,127,921.200,-26,9.75,69763d31633431396236393461633537303935366330643038346133643131623837362c6d73673d373736323662623939303563333062306262616263336364363963316336353435316566383261333061633463663763343330373639656666313031306365302c636f756e7465723d3535362c743d313237323834352c6b696e643d64617461,iv=1c419b694ac570956c0d084a3d11b876;msg=77626bb9905c30b0bbabc3cd69c1c65451ef82a30ac4cf7c430769eff1010ce0;counter=556;t=1272845;kind=data,136
1275347,127,921.200,-27,9.0,69763d39626665663938616139663331643136333132636333333331336662373161352c6d73673d303431313066316136623761386135383030653533386233323433613339346533616264643862376361343738663761393436323930303962366332336364652c636f756e7465723d3535372c743d313237353130312c6b696e643d64617461,iv=9bfef98aa9f31d16312cc33313fb71a5;msg=04110f1a6b7a8a5800e538b3243a394e3abdd8b7ca478f7a94629009b6c23cde;counter=557;t=1275101;kind=data,136
1277605,127,921.200,-27,9.25,69763d36346166393761383633663635653061333163396161333337643939336633382c6d73673d396433663237663065336530373534356430313064356536313865376262643465343238373238386637386464396530363232623330633932303038613030652c636f756e7465723d3535382c743d313237373336302c6b696e643d64617461,iv=64af97a863f65e0a31c9aa337d993f38;msg=9d3f27f0e3e07545d010d5e618e7bbd4e4287288f78dd9e0622b30c92008a00e;counter=558;t=1277360;kind=data,136
1279861,127,921.200,-27,10.0,69763d31623836303536393731343066666635646637613238613439656163346564382c6d73673d383137343465343135393237383534316535323663353837356462363263663338373263653333356165643933353061383163366462643639393735396635622c636f756e7465723d3535392c743d313237393631362c6b696e643d64617461,iv=1b8605697140fff5df7a28a49eac4ed8;msg=81744e4159278541e526c5875db62cf3872ce335aed9350a81c6dbd699759f5b;counter=559;t=1279616;kind=data,136
1282117,128,921.000,-27,9.0,69763d63313231626663373834353935333162353732383164326336626363326663662c6d73673d393632336330366232653230666436353237346335386462666234373730323632396334396238643238333831616536326533313936623764373634323133662c636f756e7465723d3536302c743d313238313837322c6b696e643d64617461,iv=c121bfc78459531b57281d2c6bcc2fcf;msg=9623c06b2e20fd65274c58dbfb47702629c49b8d28381ae62e3196b7d764213f;counter=560;t=1281872;kind=data,136
1284376,128,921.000,-27,10.25,69763d33323334666566636162353937313334656635393936666336646637303630642c6d73673d386531656637313963363339353033633766346565346632623133343763616135336332626365316363313263643931393263623533303864623063306239362c636f756e7465723d3536312c743d313238343133302c6b696e643d64617461,iv=3234fefcab597134ef5996fc6df7060d;msg=8e1ef719c639503c7f4ee4f2b1347caa53c2bce1cc12cd9192cb5308db0c0b96;counter=561;t=1284130;kind=data,136
1286632,128,921.000,-27,10.5,69763d66313230326437313363396337386638313865346662356533653961313635642c6d73673d653235656534306533366135623434646435313432363263643336383237343530616365626439663564626162306531393331373735653633656334663464612c636f756e7465723d3536322c743d313238363338362c6b696e643d64617461,iv=f1202d713c9c78f818e4fb5e3e9a165d;msg=e25ee40e36a5b44dd514262cd36827450acebd9f5dbab0e1931775e63ec4f4da;counter=562;t=1286386;kind=data,136
1288891,128,921.000,-27,9.0,69763d63386533303132316335623565626138633830313866663130623362666366612c6d73673d643662393566623264393764363962343130373439316262373938363830393033313639303666323338343439393564636664633965666461363264383237332c636f756e7465723d3536332c743d313238383634352c6b696e643d64617461,iv=c8e30121c5b5eba8c8018ff10b3bfcfa;msg=d6b95fb2d97d69b4107491bb79868090316906f23844995dcfdc9efda62d8273;counter=563;t=1288645;kind=data,136
1291147,129,921.600,-27,7.5,69763d30396162646366653365326366316239373039343737356530373964363866302c6d73673d383166366333356265356563356565346636306364366635663962633234383262663839643461356532633462336336333435396463643663646338616262622c636f756e7465723d3536342c743d313239303930312c6b696e643d64617461,iv=09abdcfe3e2cf1b97094775e079d68f0;msg=81f6c35be5ec5ee4f60cd6f5f9bc2482bf89d4a5e2c4b3c63459dcd6cdc8abbb;counter=564;t=1290901;kind=data,136
1293403,129,921.600,-27,8.5,69763d32656138313139326538303136326237303663636430383965336165616566652c6d73673d626630633631356331653561613732633264663635336166386433393334616530386366613063366665383738366264363133663238356364313163643932322c636f756e7465723d3536352c743d313239333135372c6b696e643d64617461,iv=2ea81192e80162b706ccd089e3aeaefe;msg=bf0c615c1e5aa72c2df653af8d3934ae08cfa0c6fe8786bd613f285cd11cd922;counter=565;t=1293157;kind=data,136
