t_ms,rssi_dbm,snr_db,epoch_s
112295,-16,9.0,822931660
112435,-15,9.75,822931660
112578,-15,9.5,822931661
112718,-16,9.5,822931661
112859,-16,9.0,822931661
112999,-16,9.75,822931661
113139,-17,9.0,822931661
113280,-15,9.25,822931661
113419,-16,9.0,822931661
113559,-16,9.0,822931662
113700,-16,9.0,822931662
113840,-16,9.25,822931662
113980,-16,9.25,822931662
114120,-15,9.5,822931662
114260,-16,9.5,822931662
114400,-15,10.0,822931662
114540,-15,9.75,822931663
114680,-15,9.5,822931663
114820,-15,9.25,822931663
114962,-15,9.5,822931663
115102,-16,9.75,822931663
115242,-15,9.25,822931663
115382,-15,10.25,822931663
115524,-15,9.75,822931664
115662,-15,9.5,822931664
115802,-15,9.25,822931664
115942,-15,9.5,822931664
116082,-15,9.75,822931664
116222,-15,10.25,822931664
116364,-15,9.25,822931664
116502,-15,9.5,822931665
116642,-15,9.75,822931665
116782,-15,9.75,822931665
116922,-16,9.25,822931665
117062,-16,9.0,822931665
117202,-16,9.25,822931665
117342,-16,9.25,822931665
117482,-15,9.5,822931665
117622,-16,9.25,822931666
117762,-16,9.5,822931666
117902,-16,9.5,822931666
118042,-16,10.25,822931666
118182,-16,9.25,822931666
118325,-15,9.75,822931666
118464,-15,9.25,822931666
118605,-15,9.75,822931667
118745,-16,9.5,822931667
118885,-15,9.75,822931667
119025,-15,10.0,822931667
119165,-15,9.5,822931667
119307,-15,10.0,822931667
119445,-15,10.0,822931667
119585,-15,10.0,822931668
119725,-16,9.0,822931668
119865,-26,9.0,822931668
120005,-16,9.25,822931668
120145,-16,9.25,822931668
120285,-16,9.5,822931668
120425,-16,9.25,822931668
120565,-16,9.25,822931669
120707,-16,9.25,822931669
120847,-16,9.5,822931669
120987,-16,9.5,822931669
121127,-16,9.5,822931669
121267,-16,9.0,822931669
121407,-16,9.75,822931669
121547,-16,9.25,822931670
121687,-16,9.25,822931670
121828,-16,8.75,822931670
121967,-16,9.25,822931670
122107,-16,9.25,822931670
122247,-16,9.0,822931670
122388,-26,9.25,822931670
122528,-15,9.5,822931671
122667,-15,9.0,822931671
122808,-15,9.5,822931671
122948,-15,9.75,822931671
123090,-15,9.75,822931671
123230,-15,9.25,822931671
123370,-15,9.75,822931671
123510,-15,9.75,822931672
123650,-15,9.75,822931672
123790,-15,9.75,822931672
123932,-15,9.5,822931672
124070,-15,8.75,822931672
124210,-15,9.5,822931672
124350,-15,9.5,822931672
124490,-15,9.75,822931673
124630,-15,9.5,822931673
124770,-15,9.5,822931673
124910,-15,9.0,822931673
125050,-15,10.0,822931673
125190,-25,9.0,822931673
125330,-16,9.25,822931673
125470,-16,9.5,822931673
125610,-16,9.25,822931674
125750,-16,9.0,822931674
125892,-15,9.0,822931674
126030,-16,9.25,822931674
126170,-16,9.25,822931674
126310,-16,9.25,822931674
126452,-16,9.25,822931674
126593,-16,9.0,822931675
126733,-16,9.25,822931675
126873,-15,10.0,822931675
127012,-16,9.75,822931675
127153,-16,9.5,822931675
127293,-16,9.75,822931675
127433,-16,9.25,822931675
127573,-16,9.25,822931676
127713,-15,9.5,822931676
127853,-15,9.25,822931676
127993,-16,9.0,822931676
128133,-15,9.25,822931676
128273,-15,9.25,822931676
128413,-15,9.75,822931676
128553,-16,9.5,822931677
128693,-15,9.75,822931677
128835,-15,10.0,822931677
128975,-15,10.0,822931677
129115,-15,9.5,822931677
129255,-16,9.5,822931677
129395,-15,9.75,822931677
129535,-15,9.25,822931678
129677,-16,9.25,822931678
129815,-16,9.5,822931678
129955,-16,9.5,822931678
130095,-15,9.5,822931678
130235,-15,9.25,822931678
130376,-16,9.5,822931678
130515,-15,9.75,822931679
130655,-15,9.75,822931679
130795,-15,9.25,822931679
130935,-16,9.5,822931679
131076,-16,9.25,822931679
131217,-15,9.5,822931679
131356,-16,9.25,822931679
131495,-15,9.5,822931680
131636,-15,9.0,822931680
131776,-16,10.25,822931680
131916,-15,9.5,822931680
132056,-15,9.75,822931680
132198,-15,11.5,822931680
132337,-16,9.75,822931680
132478,-16,9.5,822931680
132618,-16,9.5,822931681
132758,-16,10.0,822931681
132897,-15,9.5,822931681
133038,-15,10.0,822931681
133178,-15,9.5,822931681
133318,-25,11.0,822931681
133458,-15,9.5,822931681
133598,-15,9.75,822931682
133738,-26,9.5,822931682
133878,-15,10.0,822931682
134018,-16,9.25,822931682
134158,-16,9.25,822931682
134298,-16,9.75,822931682
134438,-15,10.0,822931682
134580,-16,9.25,822931683
134720,-16,9.5,822931683
134860,-15,10.0,822931683
135002,-15,9.75,822931683
135140,-16,9.5,822931683
135280,-15,9.25,822931683
135420,-16,9.25,822931683
135560,-16,9.0,822931684
135700,-15,9.5,822931684
135840,-15,9.25,822931684
135980,-15,9.25,822931684
136120,-15,12.0,822931684
136260,-16,9.75,822931684
136400,-16,9.75,822931684
136540,-15,9.25,822931685
136680,-26,12.0,822931685
136821,-16,9.25,822931685
136962,-15,9.75,822931685
137103,-15,9.5,822931685
137243,-15,9.75,822931685
137383,-15,9.5,822931685
137523,-15,9.0,822931686
137663,-16,9.5,822931686
137803,-15,10.0,822931686
137943,-15,9.75,822931686
138083,-15,9.75,822931686
138223,-16,9.5,822931686
138363,-15,10.0,822931686
138503,-15,9.5,822931687
138643,-15,9.5,822931687
138783,-15,9.5,822931687
138923,-15,10.25,822931687
